LocationID,lat,lon,borough
250,40.83210165963213,-73.84864070062379,Bronx
251,40.61688000771182,-74.12534779829359,Staten Island
252,40.78819301672865,-73.81565681271003,Queens
253,40.76063075217261,-73.84124393899134,Queens
254,40.88215708304705,-73.8589482397575,Bronx
255,40.718803918129915,-73.95741813122189,Brooklyn
256,40.710879933377385,-73.95990462730532,Brooklyn
257,40.65361187133663,-73.97798241330011,Brooklyn
258,40.68872135698129,-73.85576675985418,Queens
259,40.897932025294686,-73.8522154537012,Bronx
260,40.74423471780148,-73.9063064419788,Queens
261,40.70913894067186,-74.01302277174902,Manhattan
262,40.77593240314994,-73.94651035601464,Manhattan
263,40.77876585543437,-73.951009874818,Manhattan
